rate,single,jointly,separately,head
10,10275,20550,10275,14650
12,41775,83550,41775,55900
22,89075,178150,89075,89050
24,170050,340100,170050,170050
32,215950,431900,215950,215950
35,539900,647850,323925,539900
37,-1,-1,-1,-1
