Time,PSZ-AC:1:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Heat Cap [W],PSZ-AC:1:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:1:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Heat Cap [W],PSZ-AC:1:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Heat Cap [W],PSZ-AC:2:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Heat Cap [W],PSZ-AC:2:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Heat Cap [W],PSZ-AC:3:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Heat Cap [W],PSZ-AC:3:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Heat Cap [W],PSZ-AC:4:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Heat Cap [W],PSZ-AC:4:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Heat Cap [W],PSZ-AC:5:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Heat Cap [W],PSZ-AC:5:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 2:Des Tot Cool Cap [W]
00:15:00,6.236166E-02,1.156664E+03,2.929291E-01,3.116791E+03,3.107715E+03,6.387628E-02,3.657033E+03,6.236166E-02,0.000000E+00,0.000000E+00,4.727418E-02,8.768263E+02,1.927349E-01,2.036074E+03,1.933754E+03,1.761933E-01,5.197718E+03,4.727418E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.201446E+02,1.244935E-01,1.321051E+03,1.261264E+03,1.076615E-01,3.142993E+03,2.804365E-02,0.000000E+00,0.000000E+00,4.727418E-02,8.768263E+02,1.899532E-01,2.005078E+03,1.900920E+03,1.727082E-01,5.131560E+03,4.727418E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.201446E+02,1.390802E-01,1.483590E+03,1.431552E+03,1.076615E-01,3.142993E+03,2.804365E-02,0.000000E+00,0.000000E+00
00:30:00,6.236166E-02,1.170576E+03,2.919777E-01,3.092278E+03,3.082385E+03,6.383405E-02,3.656232E+03,6.236166E-02,0.000000E+00,0.000000E+00,4.727418E-02,8.873722E+02,1.905989E-01,2.001727E+03,1.897757E+03,1.761766E-01,5.197401E+03,4.727418E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.264006E+02,1.229712E-01,1.297833E+03,1.237010E+03,1.076526E-01,3.142822E+03,2.804365E-02,0.000000E+00,0.000000E+00,4.727418E-02,8.873722E+02,1.878655E-01,1.971269E+03,1.865476E+03,1.726914E-01,5.131241E+03,4.727418E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.264006E+02,1.369640E-01,1.453754E+03,1.400480E+03,1.076526E-01,3.142822E+03,2.804365E-02,0.000000E+00,0.000000E+00
00:45:00,6.236166E-02,1.184487E+03,2.910607E-01,3.068149E+03,3.057453E+03,6.379225E-02,3.655438E+03,6.236166E-02,0.000000E+00,0.000000E+00,4.727418E-02,8.979180E+02,1.885244E-01,1.968066E+03,1.862461E+03,1.761601E-01,5.197087E+03,4.727418E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.326565E+02,1.214884E-01,1.275054E+03,1.213198E+03,1.076437E-01,3.142654E+03,2.804365E-02,0.000000E+00,0.000000E+00,4.727418E-02,8.979180E+02,1.858402E-01,1.938156E+03,1.830736E+03,1.726747E-01,5.130925E+03,4.727418E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.326565E+02,1.349400E-01,1.424945E+03,1.370463E+03,1.076437E-01,3.142654E+03,2.804365E-02,0.000000E+00,0.000000E+00
01:00:00,6.236166E-02,1.198399E+03,2.901738E-01,3.044354E+03,3.032869E+03,6.375088E-02,3.654653E+03,6.236166E-02,0.000000E+00,0.000000E+00,4.727418E-02,9.084639E+02,1.865069E-01,1.935040E+03,1.827815E+03,1.761437E-01,5.196777E+03,4.727418E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.389125E+02,1.200441E-01,1.252705E+03,1.189824E+03,1.076349E-01,3.142487E+03,2.804365E-02,0.000000E+00,0.000000E+00,4.727418E-02,9.084639E+02,1.838746E-01,1.905708E+03,1.796679E+03,1.726583E-01,5.130613E+03,4.727418E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.389125E+02,1.329988E-01,1.397058E+03,1.341392E+03,1.076349E-01,3.142487E+03,2.804365E-02,0.000000E+00,0.000000E+00
01:15:00,6.236166E-02,1.207673E+03,2.893134E-01,3.025494E+03,3.013321E+03,6.370994E-02,3.653876E+03,6.236166E-02,0.000000E+00,0.000000E+00,4.727418E-02,9.154945E+02,1.845709E-01,1.906437E+03,1.797727E+03,1.761276E-01,5.196469E+03,4.727418E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.430831E+02,1.186534E-01,1.233038E+03,1.169213E+03,1.076262E-01,3.142322E+03,2.804365E-02,0.000000E+00,0.000000E+00,4.727418E-02,9.154945E+02,1.819922E-01,1.877702E+03,1.767205E+03,1.726420E-01,5.130304E+03,4.727418E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.430831E+02,1.311491E-01,1.372276E+03,1.315516E+03,1.076262E-01,3.142322E+03,2.804365E-02,0.000000E+00,0.000000E+00
01:30:00,6.236166E-02,1.216948E+03,2.884773E-01,3.006902E+03,2.994051E+03,6.366941E-02,3.653107E+03,6.236166E-02,0.000000E+00,0.000000E+00,4.727418E-02,9.225250E+02,1.827134E-01,1.878708E+03,1.768553E+03,1.761116E-01,5.196166E+03,4.727418E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.472537E+02,1.173147E-01,1.213950E+03,1.149203E+03,1.076176E-01,3.142159E+03,2.804365E-02,0.000000E+00,0.000000E+00,4.727418E-02,9.225250E+02,1.801901E-01,1.850591E+03,1.738670E+03,1.726259E-01,5.129999E+03,4.727418E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.472537E+02,1.293845E-01,1.348443E+03,1.290620E+03,1.076176E-01,3.142159E+03,2.804365E-02,0.000000E+00,0.000000E+00
01:45:00,6.236166E-02,1.226222E+03,2.876820E-01,2.988766E+03,2.975286E+03,6.367373E-02,3.653189E+03,6.236166E-02,0.000000E+00,0.000000E+00,4.727418E-02,9.295556E+02,1.809343E-01,1.851854E+03,1.740294E+03,1.761136E-01,5.196204E+03,4.727418E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.514243E+02,1.160263E-01,1.195423E+03,1.129771E+03,1.076188E-01,3.142181E+03,2.804365E-02,0.000000E+00,0.000000E+00,4.727418E-02,9.295556E+02,1.784682E-01,1.824374E+03,1.711072E+03,1.726280E-01,5.130038E+03,4.727418E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.514243E+02,1.276994E-01,1.325496E+03,1.266638E+03,1.076188E-01,3.142181E+03,2.804365E-02,0.000000E+00,0.000000E+00
02:00:00,6.236166E-02,1.235496E+03,2.869074E-01,2.970861E+03,2.956761E+03,6.367801E-02,3.653270E+03,6.236166E-02,0.000000E+00,0.000000E+00,4.727418E-02,9.365862E+02,1.792190E-01,1.825710E+03,1.712770E+03,1.761156E-01,5.196242E+03,4.727418E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.555950E+02,1.147787E-01,1.177351E+03,1.110805E+03,1.076199E-01,3.142202E+03,2.804365E-02,0.000000E+00,0.000000E+00,4.727418E-02,9.365862E+02,1.768075E-01,1.798839E+03,1.684174E+03,1.726300E-01,5.130076E+03,4.727418E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.555950E+02,1.260829E-01,1.303313E+03,1.243443E+03,1.076199E-01,3.142202E+03,2.804365E-02,0.000000E+00,0.000000E+00
02:15:00,6.236166E-02,1.242452E+03,2.861527E-01,2.955496E+03,2.940829E+03,6.368224E-02,3.653350E+03,6.236166E-02,0.000000E+00,0.000000E+00,4.727418E-02,9.418591E+02,1.775805E-01,1.802179E+03,1.687955E+03,1.761176E-01,5.196280E+03,4.727418E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.587229E+02,1.135842E-01,1.160912E+03,1.093531E+03,1.076210E-01,3.142223E+03,2.804365E-02,0.000000E+00,0.000000E+00,4.727418E-02,9.418591E+02,1.752270E-01,1.775955E+03,1.660030E+03,1.726320E-01,5.130114E+03,4.727418E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.587229E+02,1.245396E-01,1.282988E+03,1.222166E+03,1.076210E-01,3.142223E+03,2.804365E-02,0.000000E+00,0.000000E+00
02:30:00,6.236166E-02,1.249408E+03,2.854173E-01,2.940346E+03,2.925123E+03,6.368643E-02,3.653430E+03,6.236166E-02,0.000000E+00,0.000000E+00,4.727418E-02,9.471320E+02,1.760180E-01,1.779496E+03,1.664047E+03,1.761195E-01,5.196317E+03,4.727418E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.618509E+02,1.124406E-01,1.145042E+03,1.076858E+03,1.076221E-01,3.142244E+03,2.804365E-02,0.000000E+00,0.000000E+00,4.727418E-02,9.471320E+02,1.737234E-01,1.753928E+03,1.636806E+03,1.726339E-01,5.130151E+03,4.727418E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.618509E+02,1.230667E-01,1.263447E+03,1.201711E+03,1.076221E-01,3.142244E+03,2.804365E-02,0.000000E+00,0.000000E+00
02:45:00,6.236166E-02,1.256364E+03,2.847008E-01,2.925406E+03,2.909634E+03,6.369057E-02,3.653508E+03,6.236166E-02,0.000000E+00,0.000000E+00,4.727418E-02,9.524050E+02,1.745037E-01,1.757350E+03,1.640684E+03,1.761215E-01,5.196354E+03,4.727418E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.649789E+02,1.113309E-01,1.129548E+03,1.060569E+03,1.076232E-01,3.142264E+03,2.804365E-02,0.000000E+00,0.000000E+00,4.727418E-02,9.524050E+02,1.722690E-01,1.732449E+03,1.614139E+03,1.726359E-01,5.130188E+03,4.727418E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.649789E+02,1.216453E-01,1.244481E+03,1.181843E+03,1.076232E-01,3.142264E+03,2.804365E-02,0.000000E+00,0.000000E+00
03:00:00,6.236166E-02,1.263319E+03,2.840025E-01,2.910669E+03,2.894360E+03,6.369466E-02,3.653586E+03,6.236166E-02,0.000000E+00,0.000000E+00,4.727418E-02,9.576779E+02,1.730380E-01,1.735745E+03,1.617882E+03,1.761234E-01,5.196390E+03,4.727418E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.681068E+02,1.102551E-01,1.114433E+03,1.044669E+03,1.076242E-01,3.142284E+03,2.804365E-02,0.000000E+00,0.000000E+00,4.727418E-02,9.576779E+02,1.708632E-01,1.711511E+03,1.592034E+03,1.726378E-01,5.130224E+03,4.727418E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.681068E+02,1.202737E-01,1.226070E+03,1.162545E+03,1.076242E-01,3.142284E+03,2.804365E-02,0.000000E+00,0.000000E+00
03:15:00,6.236166E-02,1.270275E+03,2.833218E-01,2.896130E+03,2.879290E+03,6.369871E-02,3.653663E+03,6.236166E-02,0.000000E+00,0.000000E+00,4.727418E-02,9.629508E+02,1.716198E-01,1.714669E+03,1.595633E+03,1.761252E-01,5.196425E+03,4.727418E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.712348E+02,1.092125E-01,1.099688E+03,1.029154E+03,1.076252E-01,3.142304E+03,2.804365E-02,0.000000E+00,0.000000E+00,4.727418E-02,9.629508E+02,1.695050E-01,1.691104E+03,1.570484E+03,1.726397E-01,5.130259E+03,4.727418E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.712348E+02,1.189497E-01,1.208189E+03,1.143797E+03,1.076252E-01,3.142304E+03,2.804365E-02,0.000000E+00,0.000000E+00
03:30:00,6.236166E-02,1.277231E+03,2.826581E-01,2.881778E+03,2.864417E+03,6.370272E-02,3.653739E+03,6.236166E-02,0.000000E+00,0.000000E+00,4.727418E-02,9.682237E+02,1.702479E-01,1.694109E+03,1.573933E+03,1.761271E-01,5.196460E+03,4.727418E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.743628E+02,1.082024E-01,1.085305E+03,1.014019E+03,1.076263E-01,3.142323E+03,2.804365E-02,0.000000E+00,0.000000E+00,4.727418E-02,9.682237E+02,1.681928E-01,1.671210E+03,1.549482E+03,1.726415E-01,5.130295E+03,4.727418E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.743628E+02,1.176713E-01,1.190815E+03,1.125579E+03,1.076263E-01,3.142323E+03,2.804365E-02,0.000000E+00,0.000000E+00
03:45:00,6.236166E-02,1.284187E+03,2.820105E-01,2.867607E+03,2.849732E+03,6.370669E-02,3.653814E+03,6.236166E-02,0.000000E+00,0.000000E+00,4.727418E-02,9.734967E+02,1.689069E-01,1.673895E+03,1.552584E+03,1.761289E-01,5.196495E+03,4.727418E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.774908E+02,1.072154E-01,1.071178E+03,9.991466E+02,1.076273E-01,3.142342E+03,2.804365E-02,0.000000E+00,0.000000E+00,4.727418E-02,9.734967E+02,1.669117E-01,1.651662E+03,1.528831E+03,1.726433E-01,5.130329E+03,4.727418E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.774908E+02,1.164281E-01,1.173834E+03,1.107762E+03,1.076273E-01,3.142342E+03,2.804365E-02,0.000000E+00,0.000000E+00
04:00:00,6.236166E-02,1.291142E+03,2.813781E-01,2.853604E+03,2.835224E+03,6.371061E-02,3.653889E+03,6.236166E-02,0.000000E+00,0.000000E+00,4.727418E-02,9.787696E+02,1.675959E-01,1.654013E+03,1.531578E+03,1.761307E-01,5.196529E+03,4.727418E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.806187E+02,1.062506E-01,1.057300E+03,9.845283E+02,1.076283E-01,3.142361E+03,2.804365E-02,0.000000E+00,0.000000E+00,4.727418E-02,9.787696E+02,1.656601E-01,1.632442E+03,1.508520E+03,1.726451E-01,5.130364E+03,4.727418E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.806187E+02,1.152183E-01,1.157226E+03,1.090328E+03,1.076283E-01,3.142361E+03,2.804365E-02,0.000000E+00,0.000000E+00
04:15:00,6.236166E-02,1.295780E+03,2.807599E-01,2.842078E+03,2.823243E+03,6.371450E-02,3.653963E+03,6.236166E-02,0.000000E+00,0.000000E+00,4.727418E-02,9.822849E+02,1.663272E-01,1.636361E+03,1.512871E+03,1.761325E-01,5.196562E+03,4.727418E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.827040E+02,1.053155E-01,1.044795E+03,9.713240E+02,1.076293E-01,3.142380E+03,2.804365E-02,0.000000E+00,0.000000E+00,4.727418E-02,9.822849E+02,1.644500E-01,1.615444E+03,1.490498E+03,1.726469E-01,5.130397E+03,4.727418E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.827040E+02,1.140485E-01,1.142106E+03,1.074424E+03,1.076293E-01,3.142380E+03,2.804365E-02,0.000000E+00,0.000000E+00
04:30:00,6.236166E-02,1.300417E+03,2.801551E-01,2.830702E+03,2.811420E+03,6.371834E-02,3.654035E+03,6.236166E-02,0.000000E+00,0.000000E+00,4.727418E-02,9.858002E+02,1.650989E-01,1.619159E+03,1.494633E+03,1.761342E-01,5.196596E+03,4.727418E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.847893E+02,1.044088E-01,1.032607E+03,9.584481E+02,1.076302E-01,3.142398E+03,2.804365E-02,0.000000E+00,0.000000E+00,4.727418E-02,9.858002E+02,1.632798E-01,1.598889E+03,1.472942E+03,1.726487E-01,5.130431E+03,4.727418E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.847893E+02,1.129167E-01,1.127409E+03,1.058957E+03,1.076302E-01,3.142398E+03,2.804365E-02,0.000000E+00,0.000000E+00
04:45:00,6.236166E-02,1.305054E+03,2.795630E-01,2.819468E+03,2.799746E+03,6.372214E-02,3.654108E+03,6.236166E-02,0.000000E+00,0.000000E+00,4.727418E-02,9.893155E+02,1.639100E-01,1.602396E+03,1.476851E+03,1.761359E-01,5.196628E+03,4.727418E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.868747E+02,1.035298E-01,1.020726E+03,9.458898E+02,1.076312E-01,3.142417E+03,2.804365E-02,0.000000E+00,0.000000E+00,4.727418E-02,9.893155E+02,1.621482E-01,1.582765E+03,1.455833E+03,1.726504E-01,5.130464E+03,4.727418E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.868747E+02,1.118214E-01,1.113119E+03,1.043910E+03,1.076312E-01,3.142417E+03,2.804365E-02,0.000000E+00,0.000000E+00
05:00:00,6.236166E-02,1.309691E+03,2.789925E-01,2.808473E+03,2.788336E+03,6.372590E-02,3.654179E+03,6.236166E-02,0.000000E+00,0.000000E+00,4.727418E-02,9.928307E+02,1.628679E-01,1.587269E+03,1.460945E+03,1.761376E-01,5.196661E+03,4.727418E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.889600E+02,1.029676E-01,1.012376E+03,9.374126E+02,1.076321E-01,3.142435E+03,2.804365E-02,0.000000E+00,0.000000E+00,4.727418E-02,9.928307E+02,1.613380E-01,1.570221E+03,1.442905E+03,1.726521E-01,5.130496E+03,4.727418E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.889600E+02,1.108249E-01,1.099929E+03,1.030086E+03,1.076321E-01,3.142435E+03,2.804365E-02,0.000000E+00,0.000000E+00
05:15:00,6.236166E-02,1.305054E+03,2.784882E-01,2.807491E+03,2.787221E+03,6.372963E-02,3.654250E+03,6.236166E-02,0.000000E+00,0.000000E+00,4.727418E-02,9.893155E+02,1.620944E-01,1.582165E+03,1.455551E+03,1.761393E-01,5.196693E+03,4.727418E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.868747E+02,1.036683E-01,1.022269E+03,9.492147E+02,1.076331E-01,3.142452E+03,2.804365E-02,0.000000E+00,0.000000E+00,4.727418E-02,9.893155E+02,1.615314E-01,1.575891E+03,1.449975E+03,1.726538E-01,5.130528E+03,4.727418E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.868747E+02,1.100034E-01,1.092862E+03,1.022646E+03,1.076331E-01,3.142452E+03,2.804365E-02,0.000000E+00,0.000000E+00
05:30:00,6.236166E-02,1.300417E+03,2.781334E-01,2.808175E+03,2.787961E+03,6.373331E-02,3.654320E+03,6.236166E-02,0.000000E+00,0.000000E+00,4.727418E-02,9.858002E+02,1.616756E-01,1.581013E+03,1.454452E+03,1.761410E-01,5.196724E+03,4.727418E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.847893E+02,1.065572E-01,1.056542E+03,9.877045E+02,1.076340E-01,3.142470E+03,2.804365E-02,0.000000E+00,0.000000E+00,4.727418E-02,9.858002E+02,1.628543E-01,1.594145E+03,1.470523E+03,1.726555E-01,5.130560E+03,4.727418E-02,0.000000E+00,0.000000E+00,2.804365E-02,5.847893E+02,1.094111E-01,1.088346E+03,1.017924E+03,1.076340E-01,3.142470E+03,2.804365E-02,0.000000E+00,0.000000E+00
