rate,single,jointly,separately,head
10,11000,22000,11000,15700
12,44725,89450,44725,59850
22,95375,190750,95375,95350
24,182100,364200,182100,182100
32,231250,462500,231250,231250
35,578125,693750,346875,578100
37,-1,-1,-1,-1
